group,metric,factor,delta,n_same,n_diff,mean_same,mean_diff
tcga_5x_224,linear_cka,objective,nan,3,0,nan,nan
tcga_5x_224,linear_cka,architecture (backbone),nan,3,0,nan,nan
tcga_5x_224,linear_cka,architecture (exact),nan,0,3,nan,nan
tcga_5x_224,kernel_cka,objective,nan,3,0,nan,nan
tcga_5x_224,kernel_cka,architecture (backbone),nan,3,0,nan,nan
tcga_5x_224,kernel_cka,architecture (exact),nan,0,3,nan,nan
tcga_5x_224,svcca,objective,nan,3,0,nan,nan
tcga_5x_224,svcca,architecture (backbone),nan,3,0,nan,nan
tcga_5x_224,svcca,architecture (exact),nan,0,3,nan,nan
tcga_5x_224,pwcca,objective,nan,3,0,nan,nan
tcga_5x_224,pwcca,architecture (backbone),nan,3,0,nan,nan
tcga_5x_224,pwcca,architecture (exact),nan,0,3,nan,nan
tcga_5x_224,procrustes,objective,nan,3,0,nan,nan
tcga_5x_224,procrustes,architecture (backbone),nan,3,0,nan,nan
tcga_5x_224,procrustes,architecture (exact),nan,0,3,nan,nan
tcga_5x_224,cosine_rsa,objective,nan,3,0,nan,nan
tcga_5x_224,cosine_rsa,architecture (backbone),nan,3,0,nan,nan
tcga_5x_224,cosine_rsa,architecture (exact),nan,0,3,nan,nan
tcga_5x_224,distance_correlation,objective,nan,3,0,nan,nan
tcga_5x_224,distance_correlation,architecture (backbone),nan,3,0,nan,nan
tcga_5x_224,distance_correlation,architecture (exact),nan,0,3,nan,nan
tcga_5x_256,linear_cka,objective,0.031732050024592895,3,7,0.6996784045463297,0.6679463545217368
tcga_5x_256,linear_cka,architecture (backbone),0.0022437339041905258,3,7,0.679036583262048,0.6767928493578574
tcga_5x_256,linear_cka,architecture (exact),nan,0,10,nan,nan
tcga_5x_256,kernel_cka,objective,0.04718654471741168,3,7,0.7389913708317376,0.6918048261143259
tcga_5x_256,kernel_cka,architecture (backbone),0.007939011056270928,3,7,0.7115180972689391,0.7035790862126682
tcga_5x_256,kernel_cka,architecture (exact),nan,0,10,nan,nan
tcga_5x_256,svcca,objective,0.11820810332900666,3,7,0.6240748840174468,0.5058667806884402
tcga_5x_256,svcca,architecture (backbone),0.043191400887415576,3,7,0.5715631923083331,0.5283717914209175
tcga_5x_256,svcca,architecture (exact),nan,0,10,nan,nan
tcga_5x_256,pwcca,objective,0.0761963227293061,3,7,0.6859635358524722,0.6097672131231661
